IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.237.131,2087,2087,true,SIN,Asia Pacific,Singapore,106,10.20
8.219.140.63,2095,2095,false,SIN,Asia Pacific,Singapore,15,10.20
8.219.124.227,2052,2052,false,SIN,Asia Pacific,Singapore,11,10.20
8.219.156.148,2086,2086,false,SIN,Asia Pacific,Singapore,22,10.18
8.219.228.193,8880,8880,false,SIN,Asia Pacific,Singapore,3,10.17
8.222.152.165,2086,2086,false,SIN,Asia Pacific,Singapore,9,10.16
8.222.226.15,2052,2052,false,SIN,Asia Pacific,Singapore,9,10.16
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,35,10.15
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,64,10.15
47.236.169.164,2053,2053,true,SIN,Asia Pacific,Singapore,80,10.15
8.222.197.251,8443,8443,true,SIN,Asia Pacific,Singapore,75,10.14
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,10.13
8.222.162.45,8880,8880,false,SIN,Asia Pacific,Singapore,20,10.12
8.219.60.68,2052,2052,false,SIN,Asia Pacific,Singapore,7,10.12
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,56,10.12
8.219.98.13,2095,2095,false,SIN,Asia Pacific,Singapore,27,10.12
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,23,10.12
8.222.212.172,8080,8080,false,SIN,Asia Pacific,Singapore,51,10.11
8.219.126.240,2087,2087,true,SIN,Asia Pacific,Singapore,51,10.11
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,138,10.11
47.245.84.124,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.10
8.222.224.17,8443,8443,true,SIN,Asia Pacific,Singapore,118,10.10
8.218.105.223,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,10.10
8.219.104.242,2087,2087,true,SIN,Asia Pacific,Singapore,88,10.10
8.219.50.180,2096,2096,true,SIN,Asia Pacific,Singapore,93,10.09
8.222.212.219,8880,8880,false,SIN,Asia Pacific,Singapore,16,10.09
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,46,10.09
8.219.73.21,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.08
8.222.212.219,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.08
8.222.255.15,80,80,false,SIN,Asia Pacific,Singapore,37,10.08
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,23,10.08
8.222.187.4,2082,2082,false,SIN,Asia Pacific,Singapore,26,10.08
8.219.157.97,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.08
8.219.3.53,8443,8443,true,SIN,Asia Pacific,Singapore,103,10.08
8.222.223.34,2082,2082,false,SIN,Asia Pacific,Singapore,23,10.08
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,20,10.07
8.219.170.223,2095,2095,false,SIN,Asia Pacific,Singapore,27,10.07
8.219.122.96,8443,8443,true,SIN,Asia Pacific,Singapore,106,10.07
8.222.180.86,2086,2086,false,SIN,Asia Pacific,Singapore,28,10.06
8.219.73.21,443,443,true,SIN,Asia Pacific,Singapore,80,10.06
8.222.253.235,8880,8880,false,SIN,Asia Pacific,Singapore,29,10.05
8.219.0.162,2087,2087,true,SIN,Asia Pacific,Singapore,38,10.05
8.219.196.117,2052,2052,false,SIN,Asia Pacific,Singapore,12,10.05
8.217.239.116,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,10.05
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,116,10.04
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,18,10.04
8.219.195.47,2082,2082,false,SIN,Asia Pacific,Singapore,12,10.04
8.218.201.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,10.03
8.218.48.92,2087,2087,true,HKG,Asia Pacific,Hong Kong,114,10.03
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,43,10.03
8.219.210.64,2082,2082,false,SIN,Asia Pacific,Singapore,36,10.03
8.219.104.37,2095,2095,false,SIN,Asia Pacific,Singapore,27,10.02
8.222.223.34,8443,8443,true,SIN,Asia Pacific,Singapore,70,10.02
8.218.126.53,80,80,false,HKG,Asia Pacific,Hong Kong,50,10.02
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,47,10.02
47.236.7.106,2086,2086,false,SIN,Asia Pacific,Singapore,17,10.02
8.219.99.8,443,443,true,SIN,Asia Pacific,Singapore,110,10.02
8.219.142.229,8080,8080,false,SIN,Asia Pacific,Singapore,24,10.02
8.219.103.126,8443,8443,true,SIN,Asia Pacific,Singapore,61,10.02
8.219.111.175,2086,2086,false,SIN,Asia Pacific,Singapore,22,10.02
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,100,10.02
8.219.60.68,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.01
47.236.149.107,2096,2096,true,SIN,Asia Pacific,Singapore,103,10.01
8.219.100.168,8443,8443,true,SIN,Asia Pacific,Singapore,65,10.01
47.236.171.205,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.01
8.222.152.165,8080,8080,false,SIN,Asia Pacific,Singapore,18,10.01
8.219.99.8,8880,8880,false,SIN,Asia Pacific,Singapore,14,10.00
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,10.00
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,21,10.00
8.219.142.229,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.00
47.245.108.213,2095,2095,false,SIN,Asia Pacific,Singapore,43,10.00
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,10,9.99
8.219.40.37,2082,2082,false,SIN,Asia Pacific,Singapore,21,9.99
8.222.249.98,2095,2095,false,SIN,Asia Pacific,Singapore,15,9.99
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,77,9.98
8.219.213.112,2096,2096,true,SIN,Asia Pacific,Singapore,102,9.98
8.222.224.17,2095,2095,false,SIN,Asia Pacific,Singapore,10,9.98
8.219.137.50,2083,2083,true,SIN,Asia Pacific,Singapore,95,9.98
8.222.140.87,2053,2053,true,SIN,Asia Pacific,Singapore,148,9.98
8.218.127.249,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,9.97
8.219.72.50,2087,2087,true,SIN,Asia Pacific,Singapore,123,9.97
8.219.201.245,2082,2082,false,SIN,Asia Pacific,Singapore,15,9.97
8.219.103.57,443,443,true,SIN,Asia Pacific,Singapore,92,9.97
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,126,9.96
8.219.140.63,2096,2096,true,SIN,Asia Pacific,Singapore,73,9.96
8.222.214.13,8443,8443,true,SIN,Asia Pacific,Singapore,79,9.95
